dataset,seed,method,method_key,ACC_old,ACC_new,ACC_overall,Balanced_ACC
junyi,5,Full Replay Oracle,Full-Replay,0.7805958419661356,0.755861206627071,0.7728364795292963,0.7731754513644161
junyi,5,C-LoRA-GNCDM,C-LoRA-GNCDM,0.5269700650139315,0.751953735542357,0.5975484187300809,0.5944651661724591
junyi,5,ICD,ICD,0.686175580221998,0.7110362257792755,0.6939744726110866,0.6936337738891812
junyi,5,CLEAN-Full,CLEAN-Full,0.7810245052511252,0.7478899656142545,0.7706300563863692,0.771084143360064
junyi,5,CLEAN-LoRA,CLEAN-LoRA,0.7810245052511252,0.7386683338543295,0.7677371904878647,0.7683176538320865
junyi,11,G-NCDM,G-NCDM(Anchor),0.7836679288418947,,0.7836679288418947,
junyi,11,EWC,EWC,0.73765806958634,0.7086589559237262,0.7285609217945574,0.7289583354875558
junyi,11,DER++,DER++,0.7612345502607701,0.7450765864332604,0.7561657268938465,0.7563871611125172
junyi,11,C-LoRA,C-LoRA,0.7396584982496249,0.7303844951547358,0.7367492032360873,0.7368762973211582
junyi,11,X-DER,X-DER,0.7778809744945345,0.7353860581431697,0.7645501348369699,0.765132499589125
junyi,11,Full Replay Oracle,Full-Replay,0.7879545616917911,0.7533604251328541,0.7771022309389556,0.77757632072411
junyi,11,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6928627563049224,0.7527352297592997,0.7116450110321157,0.7108244983412355
junyi,11,ICD,ICD,0.686175580221998,0.7110362257792755,0.6939744726110866,0.6936337738891812
junyi,11,CLEAN-Full,CLEAN-Full,0.7836679288418947,0.7475773679274773,0.7723461632753126,0.7728407605675695
junyi,11,CLEAN-LoRA,CLEAN-LoRA,0.7836679288418947,0.7446076899030947,0.7714145623927433,0.7719498571602547
junyi,13,G-NCDM,G-NCDM(Anchor),0.7850968064585269,,0.7850968064585269,
junyi,13,EWC,EWC,0.6927913124240909,0.7124101281650516,0.6989458200539348,0.698676957146379
junyi,13,DER++,DER++,0.7660927341573194,0.7419506095654892,0.7585192449129688,0.7588500967797703
junyi,13,C-LoRA,C-LoRA,0.6947917410873758,0.7383557361675523,0.7084579553812209,0.7078609396114288
junyi,13,X-DER,X-DER,0.7812388368936201,0.7288215067208502,0.7647952929639618,0.765513637841789
junyi,13,Full Replay Oracle,Full-Replay,0.7873830106451383,0.7533604251328541,0.7767099779357686,0.7771762349914529
junyi,13,C-LoRA-GNCDM,C-LoRA-GNCDM,0.5730513681503179,0.7510159424820256,0.628879627359647,0.6264407404498302
junyi,13,ICD,ICD,0.686175580221998,0.7110362257792755,0.6939744726110866,0.6936337738891812
junyi,13,CLEAN-Full,CLEAN-Full,0.7850968064585269,0.7446076899030947,0.772395194900711,0.7729500714918972
junyi,13,CLEAN-LoRA,CLEAN-LoRA,0.7850968064585269,0.7353860581431697,0.7695023290022064,0.7701835819639197
a0910,1,G-NCDM,G-NCDM(Anchor),0.7354816428457573,,0.7354816428457573,
